Feature 1,Feature 2,Correlation Coefficient
/driver/eye_open/data,/driver/blink/data,0
/driver/eye_opening_rate/data,/driver/blink/data,0
/driver/face_pitch/data,/driver/blink/data,0
/driver/face_roll/data,/driver/blink/data,0
/driver/face_yaw/data,/driver/blink/data,0
/driver/gaze_horizontal/data,/driver/blink/data,0
/driver/gaze_vertical/data,/driver/blink/data,0
/driver/heart_rate/data,/driver/blink/data,0
/gps_m2/distance/from_last_intersection/field_of_view,/driver/blink/data,0
/gps_m2/distance/from_last_intersection/field_of_view,/driver/eye_open/data,0
/gps_m2/distance/from_last_intersection/field_of_view,/driver/eye_opening_rate/data,0
/gps_m2/distance/from_last_intersection/field_of_view,/driver/face_pitch/data,0
/gps_m2/distance/from_last_intersection/field_of_view,/driver/face_roll/data,0
/gps_m2/distance/from_last_intersection/field_of_view,/driver/face_yaw/data,0
/gps_m2/distance/from_last_intersection/field_of_view,/driver/gaze_horizontal/data,0
/gps_m2/distance/from_last_intersection/field_of_view,/driver/gaze_vertical/data,0
/gps_m2/distance/from_last_intersection/field_of_view,/driver/heart_rate/data,0
/gps_m2/distance/from_last_intersection/max_range,/driver/blink/data,0
/gps_m2/distance/from_last_intersection/max_range,/driver/eye_open/data,0
/gps_m2/distance/from_last_intersection/max_range,/driver/eye_opening_rate/data,0
/gps_m2/distance/from_last_intersection/max_range,/driver/face_pitch/data,0
/gps_m2/distance/from_last_intersection/max_range,/driver/face_roll/data,0
/gps_m2/distance/from_last_intersection/max_range,/driver/face_yaw/data,0
/gps_m2/distance/from_last_intersection/max_range,/driver/gaze_horizontal/data,0
/gps_m2/distance/from_last_intersection/max_range,/driver/gaze_vertical/data,0
/gps_m2/distance/from_last_intersection/max_range,/driver/heart_rate/data,0
/gps_m2/distance/from_last_intersection/max_range,/gps_m2/distance/from_last_intersection/field_of_view,0
/gps_m2/distance/from_last_intersection/min_range,/driver/blink/data,0
/gps_m2/distance/from_last_intersection/min_range,/driver/eye_open/data,0
/gps_m2/distance/from_last_intersection/min_range,/driver/eye_opening_rate/data,0
/gps_m2/distance/from_last_intersection/min_range,/driver/face_pitch/data,0
/gps_m2/distance/from_last_intersection/min_range,/driver/face_roll/data,0
/gps_m2/distance/from_last_intersection/min_range,/driver/face_yaw/data,0
/gps_m2/distance/from_last_intersection/min_range,/driver/gaze_horizontal/data,0
/gps_m2/distance/from_last_intersection/min_range,/driver/gaze_vertical/data,0
/gps_m2/distance/from_last_intersection/min_range,/driver/heart_rate/data,0
/gps_m2/distance/from_last_intersection/min_range,/gps_m2/distance/from_last_intersection/field_of_view,0
/gps_m2/distance/from_last_intersection/min_range,/gps_m2/distance/from_last_intersection/max_range,0
/gps_m2/distance/from_last_intersection/radiation_type,/driver/blink/data,0
/gps_m2/distance/from_last_intersection/radiation_type,/driver/eye_open/data,0
/gps_m2/distance/from_last_intersection/radiation_type,/driver/eye_opening_rate/data,0
/gps_m2/distance/from_last_intersection/radiation_type,/driver/face_pitch/data,0
/gps_m2/distance/from_last_intersection/radiation_type,/driver/face_roll/data,0
/gps_m2/distance/from_last_intersection/radiation_type,/driver/face_yaw/data,0
/gps_m2/distance/from_last_intersection/radiation_type,/driver/gaze_horizontal/data,0
/gps_m2/distance/from_last_intersection/radiation_type,/driver/gaze_vertical/data,0
/gps_m2/distance/from_last_intersection/radiation_type,/driver/heart_rate/data,0
/gps_m2/distance/from_last_intersection/radiation_type,/gps_m2/distance/from_last_intersection/field_of_view,0
/gps_m2/distance/from_last_intersection/radiation_type,/gps_m2/distance/from_last_intersection/max_range,0
/gps_m2/distance/from_last_intersection/radiation_type,/gps_m2/distance/from_last_intersection/min_range,0
/gps_m2/distance/from_last_intersection/range,/driver/blink/data,0
/gps_m2/distance/from_last_intersection/range,/gps_m2/distance/from_last_intersection/field_of_view,0
/gps_m2/distance/from_last_intersection/range,/gps_m2/distance/from_last_intersection/max_range,0
/gps_m2/distance/from_last_intersection/range,/gps_m2/distance/from_last_intersection/min_range,0
/gps_m2/distance/from_last_intersection/range,/gps_m2/distance/from_last_intersection/radiation_type,0
/gps_m2/distance/to_next_intersection/field_of_view,/driver/blink/data,0
/gps_m2/distance/to_next_intersection/field_of_view,/driver/eye_open/data,0
/gps_m2/distance/to_next_intersection/field_of_view,/driver/eye_opening_rate/data,0
/gps_m2/distance/to_next_intersection/field_of_view,/driver/face_pitch/data,0
